event_id,source,source_name,tribe_arabic,tribe_english,region_arabic,region_english,region_key,lat,lon,year_ah,incorporation_mode,commander_arabic,commander_english,rebel_leader_arabic,rebel_leader_english,battle_site_arabic,battle_site_english,confidence,notes,evidence,cross_refs,is_cross_ref
T001,tabari,al-Ṭabarī,مذحج,Madḥij,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBMISSION,عامر بن شهر الهمداني,ʿĀmir ibn Shahr al-Hamdānī,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.85,Madḥij initially supported al-Aswad but ʿĀmir ibn Shahr opposed him,أول من اعترض على العنسي وكاثره عامر بن شهر الهمداني في ناحيته | طابقه عوام مذحج,,False
T002,tabari,al-Ṭabarī,عك,ʿAkk,تهامة,Tihāma,tihama,14.8,43.3,11,SUBMISSION,,,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.8,Tribe of ʿAkk opposed al-Aswad al-ʿAnsī,وعك بتهامة معترضون عليه,,False
T003,tabari,al-Ṭabarī,همدان,Hamdān,اليمن,al-Yaman,yaman,15.35,44.21,11,MIXED,عامر بن شهر,ʿĀmir ibn Shahr,الأسود العنسي,al-Aswad al-ʿAnsī,صنعاء,Ṣanʿāʾ,0.9,Hamdānī chiefs opposed al-Aswad and offered support to Muslim resistance,جاءنا اعتراض عامر ابن شهر وذي زود وذي مران وذي الكلاع وذي ظليم عليه | وكاتبونا وبذلوا لنا النصر,,False
T004,tabari,al-Ṭabarī,حمير,Ḥimyar,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBMISSION,,,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.75,Ḥimyarī tribes were being contacted for resistance against al-Aswad,وعجلنا عن مراسلة الهمدانيين والحميريين,,False
T005,tabari,al-Ṭabarī,مراد,Murād,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,قيس بن عبد يغوث المرادي,Qays ibn ʿAbd Yaghūth al-Murādī,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.85,Qays ibn ʿAbd Yaghūth from Murād initially served al-Aswad but later joined the conspiracy to kill him,وكان قواده قيس بن عبد يغوث المرادي | قتلنا الأسود، وعاد أمرنا كما كان,,False
T006,tabari,al-Ṭabarī,بنو العنسي,Banū al-ʿAnsī,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,غير مذكور,not mentioned,الأسود العنسي,al-Aswad al-ʿAnsī,اليمن,al-Yaman,0.9,First war against apostates after Prophet's death,فأول حرب كانت في الردة بعد وفاة النبي(ص) حرب العنسي، وقد كانت حرب العنسي باليمن,,False
T007,tabari,al-Ṭabarī,غطفان,Ghaṭafān,غطفان,Ghaṭafān,najd,26.0,42.0,11,SUBJUGATION,أبو بكر,Abū Bakr,خارجة بن حصن ومنظور بن زبان,Khārija ibn Ḥiṣn wa-Manẓūr ibn Zabān,غطفان,Ghaṭafān,0.95,Early battle in Ridda Wars against Ghaṭafān tribes,ثم حرب خارجة بن حصن ومنظور بن زبان بن سيار في غطفان، والمسلمون غارون | ثم هزم الله المشركين,,False
T008,tabari,al-Ṭabarī,بنو أسد,Banū Asad,سميراء,Samīrāʾ,najd,26.5,42.8,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,سميراء,Samīrāʾ,0.9,Banū Asad joined the false prophet Ṭulayḥa,واجتمع على طليحة عوام طيئ وأسد | اجتمعت أسد بسميراء,,False
T009,tabari,al-Ṭabarī,طيئ,Ṭayyiʾ,حدود أرضهم,ḥudūd arḍihim,hijaz,24.5,40.0,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,حدود أرضهم,ḥudūd arḍihim,0.9,Ṭayyiʾ tribe joined Ṭulayḥa's rebellion,واجتمع على طليحة عوام طيئ وأسد | وطيئ على حدود أرضهم,,False
T010,tabari,al-Ṭabarī,فزارة,Fazāra,جنوب طيبة,janūb Ṭayba,hijaz,24.3,39.5,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,جنوب طيبة,janūb Ṭayba,0.85,Part of Ghaṭafān confederation that rebelled,وفزارة ومن يليهم من غطفان بجنوب طيبة,,False
T011,tabari,al-Ṭabarī,ثعلبة بن سعد,Thaʿlaba ibn Saʿd,الأبرق من الربذة,al-Abraq min al-Rabadha,najd,25.0,42.5,11,SUBJUGATION,أبو بكر,Abū Bakr,الحارث,al-Ḥārith,الأبرق,al-Abraq,0.9,Gathered at al-Abraq and fought against Abū Bakr,واجتمعت ثعلبة بن سعد ومن يليهم من مرة وعبس بالأبرق من الربذة | فقاتلهم قبل رجوع أسامة,,False
T012,tabari,al-Ṭabarī,عبس,ʿAbs,الأبرق من الربذة,al-Abraq min al-Rabadha,najd,25.0,42.5,11,SUBJUGATION,أبو بكر,Abū Bakr,الحارث,al-Ḥārith,الأبرق,al-Abraq,0.95,"First to attack Abū Bakr, later defeated at al-Abraq",وكان أول من صادم عبس وذبيان، عاجلوه فقاتلهم قبل رجوع أسامة | فهزم الله الحارث وعوفا، وأخذ الحطيئة أسيرا، فطارت عبس,,False
T013,tabari,al-Ṭabarī,ذبيان,Dhubyān,الأبرق من الربذة,al-Abraq min al-Rabadha,najd,24.8,40.5,11,SUBJUGATION,أبو بكر,Abū Bakr,حبال,Ḥibāl,ذو القصة,Dhū al-Qaṣṣa,0.95,"Defeated by Abū Bakr at Dhū al-Qaṣṣa, their leader Ḥibāl was killed",وكان أول من صادم عبس وذبيان، عاجلوه فقاتلهم قبل رجوع أسامة | فما ذر قرن الشمس حتى ولوهم الأدبار، وغلبوهم على عامة ظهرهم، وقتل حبال,,False
T014,tabari,al-Ṭabarī,كلب,Kalb,قضاعة,Quḍāʿa,sham,29.81,39.87,11,MIXED,أسامة,Usāma,وديعة الكلبي,Wadīʿa al-Kalbī,دومة,Dūma,0.85,"Part of Kalb apostatized under Wadīʿa, but Imruʾ al-Qays remained Muslim",فارتد وديعة الكلبي فيمن آزره من كلب، وبقي امرؤ القيس على دينه | فخرجوا هرابا، حتى أرزوا إلى دومة,,False
T015,tabari,al-Ṭabarī,بنو القين,Banū al-Qayn,قضاعة,Quḍāʿa,sham,28.0,37.0,11,MIXED,أسامة,Usāma,زميل بن قطبة القيني,Zumayl ibn Quṭba al-Qaynī,قضاعة,Quḍāʿa,0.8,"Part apostatized under Zumayl, but ʿAmr remained loyal",وارتد زميل بن قطبة القيني فيمن آزره من بني القين وبقي عمرو,,False
T016,tabari,al-Ṭabarī,سعد هذيم,Saʿd Hudhaym,قضاعة,Quḍāʿa,sham,28.0,37.0,11,SUBJUGATION,أسامة,Usāma,معاوية,Muʿāwiya,قضاعة,Quḍāʿa,0.8,Apostatized under Muʿāwiya during Usāma's campaign,وارتد معاوية فيمن آزره من سعد هذيم,,False
T017,tabari,al-Ṭabarī,بنو أسد,Banū Asad,الغمر,al-Ghamir,najd,27.5,43.5,11,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,طليحة,Ṭulayḥa,البزاخة,al-Bazākha,0.95,"Major battle at al-Bazākha where Ṭulayḥa was defeated by Khālid, with ʿUyayna ibn Ḥiṣn fighting alongside the false prophet",قاتل عيينه مع طليحة في سبعمائة من بنى فزاره قتالا شديدا | ضرس القتال وهزته الحرب | فانصرفوا وانهزم الناس فغشوا طليحة | وقتل الله من قتل منهم,,False
T018,tabari,al-Ṭabarī,بنو فزارة,Banū Fazāra,البزاخة,al-Bazākha,najd,27.5,43.5,11,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,عيينة بن حصن,ʿUyayna ibn Ḥiṣn,البزاخة,al-Bazākha,0.9,"Fazāra fought with 700 men under ʿUyayna ibn Ḥiṣn supporting Ṭulayḥa, later defeated and ʿUyayna was captured",قاتل عيينه مع طليحة في سبعمائة من بنى فزاره قتالا شديدا | فانصرفوا وانهزم الناس | اوثق عيينه بن حصن,"W016, W021",False
T019,tabari,al-Ṭabarī,بنو عامر,Banū ʿĀmir,نجد,Najd,najd,25.0,45.0,11,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,قرة بن هبيرة,Qura ibn Hubayra,,,0.85,"Banū ʿĀmir submitted after the defeat at al-Bazākha, with their leader Qura ibn Hubayra captured but later pardoned",اقبلت بنو عامر بعد هزيمه اهل بزاخه يقولون: ندخل فيما خرجنا منه | فبايعهم على ما بايع عليه اهل البزاخه | اوثق عيينه بن حصن وقره بن هبيرة,,False
T020,tabari,al-Ṭabarī,غطفان,Ghaṭafān,ظفر,Ẓafar,yaman,14.2,44.4,11,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,أم زمل سلمى,Umm Zaml Salmā,ظفر,Ẓafar,0.9,"Remnants of Ghaṭafān gathered around Umm Zaml at Ẓafar, fought fiercely but were defeated with 100 men killed around her camel",اجتمعت فلال غطفان الى ظفر | فاقتتلوا قتالا شديدا | فعقروه وقتلوها | وقتل حول جملها مائه رجل,,False
T021,tabari,al-Ṭabarī,طيء,Ṭayyiʾ,نجد,Najd,najd,25.0,45.0,11,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,عوف الجذمي,ʿAwf al-Jadhamī,,,0.8,"Ṭayyiʾ cavalry initially skirmished with Asad and Fazāra, then submitted after the Battle of al-Bazākha",ان خيل طيئ كانت تلقى خيل بنى اسد وفزاره قبل قدوم خالد عليهم فيتشامون | وارسل اليه ثمامة بن أوس بن لام الطائي | فبايعهم على ما بايع عليه اهل البزاخه من اسد وغطفان وطيئ,,False
T022,tabari,al-Ṭabarī,بنو سليم,Banū Sulaym,الجواء,al-Jawāʾ,najd,26.2,43.8,11,SUBJUGATION,طريفة بن حاجز,Ṭarīfa ibn Ḥājiz,الفجاءة إياس,al-Fujāʾa Iyās,الجواء,al-Jawāʾ,0.9,"Al-Fujāʾa Iyās raided Muslims among Sulaym, was defeated at al-Jawāʾ and burned alive by order of Abū Bakr",فشنها غاره على كل مسلم في سليم وعامر وهوازن | فاقتتلوا، فقتل نجبه، وهرب الفجاءه | فحرقه فيه بالنار,,False
T023,tabari,al-Ṭabarī,بنو تميم,Banū Tamīm,البحرين,al-Baḥrayn,bahrayn,26.0,50.55,11,MIXED,,,مالك بن نويرة,Mālik ibn Nuwayra,,,0.75,Various Tamīm sub-tribes had different responses - some governors remained loyal while others like Mālik ibn Nuwayra rebelled,ومالك بن نويره على بنى حنظله | فضرب صفوان الى ابى بكر حين وقع اليه الخبر بموت النبي(ص)بصدقات بنى عمرو | واقام سبره في قومه لحدث ان ناب القوم,,False
T024,tabari,al-Ṭabarī,بنو تميم,Banū Tamīm,البطاح,al-Biṭāḥ,najd,26.0,44.0,12,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,سجاح بنت الحارث,Sajāḥ bint al-Ḥārith,البطاح,al-Biṭāḥ,0.9,"Sajāḥ, false prophetess from Jazīra, formed alliance with some Tamīm clans including Mālik ibn Nuwayra before Khālid's arrival",فجئتهم سجاح بنت الحارث قد اقبلت من الجزيرة | وكانت ورهطها في بنى تغلب تقود افناء ربيعه | فتنبت بعد موت رسول الله(ص)بالجزيرة في بنى تغلب | راسلت مالك بن نويره ودعته الى الموادعة,,False
T025,tabari,al-Ṭabarī,بنو يربوع,Banū Yarbūʿ,البطاح,al-Biṭāḥ,najd,26.0,44.0,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مالك بن نويره,Mālik ibn Nuwayra,البطاح,al-Biṭāḥ,0.95,Mālik ibn Nuwayra executed by Khālid's forces after confusion over his status; controversial incident involving marriage to his widow,فجاءته الخيل بمالك بن نويره في نفر معه من بنى ثعلبه بن يربوع | فقتل ضرار بن الأزور مالكا | وتزوج خالد أم تميم ابنه المنهال | قتلت امرا مسلما، ثم نزوت على امراته,W022,False
T026,tabari,al-Ṭabarī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.15,47.3,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة,Musaylima,اليمامة,al-Yamāma,0.95,"Major campaign against Musaylima and Banū Ḥanīfa; 40,000 fighters mentioned; text ends before describing the final battle",ووجهه الى مسيلمه واوعب معه الناس | فسار خالد حتى اتى اليمامه وبنو حنيفه يومئذ كثير | كان عدد بنى حنيفه يومئذ اربعين الف مقاتل | وكان مسيلمه يصانع كل احد ويتالفه,"T028, T031, T051, B004, W024, W026, W027",False
T027,tabari,al-Ṭabarī,بنو تغلب,Banū Taghlib,الجزيرة,al-Jazīra,jazira,36.0,41.0,12,SUBMISSION,,,سجاح بنت الحارث,Sajāḥ bint al-Ḥārith,,,0.85,Sajāḥ's base tribe; later returned to Islam under Muʿāwiya and were relocated to Kūfa,وكانت ورهطها في بنى تغلب تقود افناء ربيعه | فتنبت بعد موت رسول الله(ص)بالجزيرة في بنى تغلب | فلم تزل سجاح في بنى تغلب، حتى نقلهم معاويه عام الجماعه | وجاءت معهم وحسن إسلامها,,False
T028,tabari,al-Ṭabarī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.2,47.35,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة,Musaylima,عقرباء,ʿAqrabāʾ,0.95,Major battle of ʿAqrabāʾ where Musaylima was killed and Banū Ḥanīfa was decisively defeated by Khālid's forces,فبعث اليهم ابو بكر خالدا، فسار حتى إذا بلغ ثنية اليمامه | فخرج مسيلمه وبنو حنيفه حين سمعوا بخالد، فنزلوا بعقرباء | فاقتتلوا بعقرباء | فانهزمت بنو حنيفه | وقتل وحشى مسيلمه,"T026, T031, T051, B004, W024, W026, W027",False
T029,tabari,al-Ṭabarī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.15,47.3,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مجاعة بن مرارة,Mujāʿa ibn Murāra,ثنية اليمامة,Thaniyyat al-Yamāma,0.9,"Pre-battle encounter where Khālid captured Mujāʿa ibn Murāra, chief of Banū Ḥanīfa, and killed his companions",استقبل مجاعه ابن مرارة- وكان سيد بنى حنيفه- في جبل من قومه | فبيتهم خالد في معرسهم | فامر بهم خالد فضربت أعناقهم، واستحيا مجاعه,"W024, W026, W028",False
T030,tabari,al-Ṭabarī,بنو عامر,Banū ʿĀmir,اليمامة,al-Yamāma,yamama,24.2,47.35,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,الأغلب بن عامر,al-Aghlab ibn ʿĀmir,عقرباء,ʿAqrabāʾ,0.8,Sub-tribe of Banū Ḥanīfa that participated in the battle of ʿAqrabāʾ; al-Aghlab feigned death during the defeat,كان رجل من بنى عامر بن حنيفه يدعى الاغلب بن عامر بن حنيفه | فلما انهزم المشركون يومئذ، واحاط المسلمون بهم، تماوت,,False
T031,tabari,al-Ṭabarī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.2,47.35,12,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة,Musaylima,عقرباء,ʿAqrabāʾ,0.95,"Major battle followed by negotiated peace treaty. Khālid defeated Musaylima in battle, then negotiated surrender terms with Mujāʿa ibn Murāra involving tribute and prisoners.",لما فرغ خالد من مسيلمة والجند | فصالحه على كل شيء دون النفوس | وقتل من بني حنيفة في الفضاء بعقرباء سبعة آلاف، وفي حديقة الموت سبعة آلاف | فصالحه على الصفراء والبيضاء والحلقة ونصف السبي | وتتابع بنو حنيفة على البراء مما كانوا عليه، وعلى الإسلام,"T026, T028, T051, B004, W024, W026, W027",False
T032,tabari,al-Ṭabarī,عبد القيس,ʿAbd al-Qays,البحرين,al-Baḥrayn,bahrayn,26.0,50.55,11,SUBMISSION,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,,,,,0.9,"ʿAbd al-Qays returned to Islam voluntarily under leadership of al-Jārūd ibn al-Muʿallā, without military conflict.",فأما عبد القيس ففاءت، وأما بكر فتمت على ردتها | وكان الذي ثنى عبد القيس الجارود حتى فاءوا | فثبت على الإسلام ومن معه من قومه | ولم يبسطوا ولم يبسط إليهم,W031,False
T033,tabari,al-Ṭabarī,بكر بن وائل,Bakr ibn Wāʾil,البحرين,al-Baḥrayn,bahrayn,25.38,49.6,11,SUBJUGATION,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,الحطم بن ضبيعة,al-Ḥuṭam ibn Ḍubayʿa,هجر,Hajar,0.95,Major military campaign against al-Ḥuṭam ibn Ḍubayʿa and Bakr tribe. Extended siege warfare ending with night assault and killing of rebel leader.,خرج الحطم بن ضبيعة أخو بني قيس بن ثعلبة فيمن اتبعه من بكر بن وائل على الردة | وخندق المسلمون والمشركون، وكانوا يتراوحون القتال | فخرج المسلمون عليهم حتى اقتحموا عليهم عسكرهم، فوضعوا السيوف فيهم حيث شاءوا | فقتله قيس بن عاصم,"W011, W030",False
T034,tabari,al-Ṭabarī,الرباب,al-Ribāb,نجد,Najd,najd,25.0,45.0,11,SUBMISSION,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,,,,,0.85,"al-Ribāb tribal confederation joined al-ʿAlāʾ's forces voluntarily, providing significant military support equal to his existing army.",فلما دنا منا ونحن في عليا البلاد لم يكن أحد له فرس من الرباب وعمرو بن تميم إلا جنبه، ثم استقبله | وخرج معه من عمرو وسعد الرباب مثل عسكره | فأكرمه العلاء، وخرج مع العلاء من عمرو وسعد الرباب مثل عسكره,,False
T035,tabari,al-Ṭabarī,بكر بن وائل,Bakr ibn Wāʾil,البحرين,al-Baḥrayn,bahrayn,26.0,50.55,11,MIXED,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,الحطم,al-Ḥuṭam,دارين,Dārīn,0.9,Battle against apostate tribes at Dārīn. Mixed mode due to some voluntary submissions and armed conflict.,وارسل الى عتيبة بن النهاس والى عامر بن عبد الأسود بلزوم ما هم عليه والقعود لأهل الرده بكل سبيل | فمنهم من أناب، فقبلوا منه واشتملوا عليه، ومنهم من ابى ولج فمنع من الرجوع | فاقتتلوا قتالا شديدا، فما تركوا بها مخبرا وسبوا الذراري,"W011, W030",False
T036,tabari,al-Ṭabarī,الأزد,al-Azd,عمان,ʿUmān,uman,25.62,56.27,11,SUBJUGATION,حذيفة بن محصن,Ḥudhayfa ibn Muḥṣin,لقيط بن مالك,Laqīṭ ibn Mālik,دبا,Dabā,1.0,"Major battle at Dabā against the false prophet Laqīṭ ibn Mālik. Clear military subjugation with 10,000 enemy killed.",نبغ بعمان ذو التاج لقيط بن مالك الأزدي، وكان يسامى في الجاهلية الجلندى، وادعى بمثل ما ادعى به من كان نبيا | فالتقوا على دبا، وقد جمع لقيط العيالات، فجعلهم وراء صفوفهم | فاقتتلوا بدبا قتالا شديدا، وكاد لقيط يستعلى الناس | فقتلوا منهم في المعركة عشره آلاف,,False
T037,tabari,al-Ṭabarī,مهره,Mahra,النجد,al-Najd,najd,25.0,45.0,11,MIXED,عكرمة,ʿIkrima,المصبح,al-Muṣbiḥ,النجد,al-Najd,0.9,"Mixed incorporation: some tribal leaders like Shukhrīt submitted voluntarily, while al-Muṣbiḥ's faction was defeated militarily.",فكانا مختلفين، كل واحد من الرئيسين يدعو الآخر الى نفسه | ولما راى عكرمه قله من مع شخريت دعاه الى الرجوع الى الاسلام، فكان لاول الدعاء، فأجابه | فالتقوا هم والمصبح بالنجد، فاقتتلوا أشد من قتال دبا | ثم ان الله كشف جنود المرتدين، وقتل رئيسهم,,False
T038,tabari,al-Ṭabarī,عك,ʿAkk,تهامة,Tihāma,tihama,14.8,43.3,11,SUBJUGATION,الطاهر بن أبي هالة,al-Ṭāhir ibn Abī Hāla,,,الأعلاب,al-Aʿlāb,1.0,Battle against the 'Akhabāth (wicked ones) of ʿAkk and allied tribes. Complete military victory with heavy enemy casualties.,تجمع منهم طخارير، فاقبل اليهم طخارير من الاشعرين وخضم فانضموا اليهم | فالتقوا فاقتتلوا، فهزمهم الله، وقتلوهم كل قتله، وانتنت السبل لقتلهم | وكان مقتلهم فتحا عظيما | فسميت تلك الجموع من عك ومن تأشب اليهم الى اليوم الأخابث,,False
T039,tabari,al-Ṭabarī,مدلج,Mudlij,تهامة,Tihāma,tihama,14.8,43.3,11,SUBJUGATION,خالد بن أسيد,Khālid ibn Usayd,جندب بن سلمى,Jundab ibn Salmā,الأبارق,al-Abāriq,0.9,Military campaign against Mudlij and allied tribes under Jundab ibn Salmā. Heavy casualties inflicted on Banū Shanūq.,وقد تجمعت بها جماع من مدلج، وتأشب اليهم شذاذ من خزاعة وافناء كنانه، عليهم جندب بن سلمى | فالتقوا بالابارق، ففرقهم وقتلهم، واستحر القتل في بنى شنوق,,False
